,Название статьи,Дата,Кол-во просмотров
111,COVID-19 в Одессе: 45 новых случаев,12.08.2020,410
112,"COVID-19 в Одесской области: за сутки 84 новых заболевших, умерших нет",12.08.2020,329
113,Минздрав по-новому будет распределять карантинные зоны Украины,12.08.2020,398
114,Наталья Делиева выдвинута кандидатом в мэры Одессы от «Голоса»,12.08.2020,581
115,Двенадцать украинских моряков судна SRAKANE вернулись на родину из Бразилии,12.08.2020,373
116,"Капитан судна «София» умер в Одессе от COVID-19, сам сухогруз пропал",12.08.2020,842
117,Кому 13 августа в Одессе отключат газ,12.08.2020,320
118,"Киевский суд закрыл дело активиста, задержанного на акции в поддержку Стерненко",11.08.2020,314
119,Кому в Одессе уже вечером 11 августа отключат свет на всю среду,11.08.2020,1054
120,В Одессе готовятся к очередному подъёму памятника современности — танкера Delfi,11.08.2020,394
121,Вандализм: В центре Одессы унесли бронзовую фигуру из композиции «Одесское время»,11.08.2020,434
122,В ренийской Орловке открылась паромная переправа с Румынией,11.08.2020,447
123,"COVID-19: за последние сутки в Одессе 79 новых случаев, 1 — летальный",11.08.2020,430
124,COVID-19 в Одесской области: очередной антирекорд по количеству заболевших в сутки,11.08.2020,490
125,Минздрав обновил перечень стран «красной» и «зелёной» зон,11.08.2020,680
126,Подозреваемого в нападении на активиста Савченко отпустили из СИЗО домой,11.08.2020,450
127,Кому в Одессе в ночь на 12 августа отключат воду,11.08.2020,998
128,В Южном госпитализировали 11 греческих моряков с COVID-19,10.08.2020,526
129,В Одессе на прошлой неделе родились 226 малышей,10.08.2020,305
130,Кому в Одессе 11 августа отключат свет,10.08.2020,984
131,"Труханов: Убрать Delfi с побережья, не разрезая его",10.08.2020,369
132,Уголок старой Одессы обрёл новое лицо,10.08.2020,588
133,Укрзализныця запустила поезд из Киева на Белгород-Днестровский,10.08.2020,348
134,COVID-19: За последние сутки в Одессе 38 новых случаев,10.08.2020,401
135,COVID-19 в Одесской области: 65 жителей в воскресенье попали в инфекционные боксы,10.08.2020,701
136,"COVID-19 в Украине: за сутки 1 008 случаев, 25 — смертельных",10.08.2020,372
137,По проекту одесских судостроителей в Азербайджане построили танкер,10.08.2020,522
138,САП хочет запретить Труханову избираться мэром,10.08.2020,905
139,Кого в Одессе 10 августа оставят без света,10.08.2020,599
140,Как одесская полиция заботится о безопасности отдыхающих,09.08.2020,507
141,В порт Южный зашёл греческий корабль с больным COVID-19 экипажем,09.08.2020,474
142,ЦВК начала активную подготовку к местным выборам,09.08.2020,436
143,Перестало биться сердце народного артиста Украины Анатолия Дуды,08.08.2020,410
144,В Одессе состоялось внеочередное заседание комиссии ТЭБ и ЧС по вопросам DELFI,08.08.2020,466
145,COVID-19 в Одессе: за последние сутки 66 новых случаев заболевания,08.08.2020,464
146,Куцый: Вирус остаётся опасным для всех граждан,08.08.2020,758
147,"COVID-19: за сутки больше всех заболевших в Киеве, Львовской, Одесской областях",08.08.2020,538
148,Малюська выставляет на продажу исправительную колонию в Одессе,08.08.2020,546
149,В Украине обновили деление на карантинные зоны: Одесса вновь в «зелёной»,08.08.2020,497
150,С 8 августа в Одессе произойдут некоторые изменения в движении транспорта,08.08.2020,388
151,На складах порта Южный хранится почти 10 тысяч тонн селитры,07.08.2020,409
152,В Национальном парке «Тузловские лиманы» от града погибли сотни птиц,07.08.2020,316
153,Одесса поставила антирекорд по количеству заболевших COVID-19 за сутки,07.08.2020,659
154,Одесская теннисистка вышла в четвертьфинал турнира в Палермо,07.08.2020,266
155,Приграничное сотрудничество: о чём Куцый говорил с Цулей,07.08.2020,392
156,В Одессе стартовала Международная книжная выставка-ярмарка «Зелёная волна»,07.08.2020,363
157,Вот это рост: в Одесской области за сутки зарегистрировано 156 человек с COVID-19,07.08.2020,367
158,"Погибших в порту Бейрута украинцев нет, пострадавшие просят денег",07.08.2020,283
159,Суд заменил Стерненко круглосуточный домашний арест на ночной,07.08.2020,462
160,Капитану танкера Delfi огласили приговор,07.08.2020,418
161,Измаильские пограничники осваивали новый вид спорта,06.08.2020,338
162,Кому в Одессе уже с ночи на 7 августа отключат свет и воду,06.08.2020,1517
163,На фрегате «Гетман Сагайдачный» заболел коронавирусом военнослужащий,06.08.2020,413
164,Начальник почтового отделения в Одессе присвоил 200 тысяч для погашения кредита,06.08.2020,304
165,"Пронесло: вице-мэр Одессы не подхватил COVID-19, это сделали 57 его земляков",06.08.2020,475
166,Одесский оперный театр открывает 211-й театральный сезон,06.08.2020,305
167,Свой опыт утратили: Украина будет перенимать опыт Италии по защите морских границ,06.08.2020,355
168,В Одессе частное предприятие и общественная организация захватили землю под АЗС,06.08.2020,305
169,COVID-19 в Одесской области: За сутки умерли 8 человек,06.08.2020,842
170,COVID-19 в Украине: зафиксирован очередной антирекорд суток — 1 318 заболевших,06.08.2020,296
171,Президентским указом назначены судьи в 3-х судах Одесской области,06.08.2020,674
172,800 краснокнижных крабов освободили из браконьерских ловушек одесские пограничники,05.08.2020,363
173,"Одесский суд вынес приговор за разбой, похищение людей и сексуальное насилие",05.08.2020,409
174,Кому в Одессе и пригородах 6 августа отключат воду и свет,05.08.2020,1051
175,В августе цена на газ для населения вырастет,05.08.2020,650
176,"Одесская инфекционка борется за каждую жизнь, но 3-х человек за сутки потеряли",05.08.2020,527
177,Главу сельсовета в Одесской области поймали при получении 1 000 хрустящих долларов США,05.08.2020,459
178,Одесса отметила 79-ю годовщину обороны города,05.08.2020,500
179,Куцый: Основная причина роста заболеваемости COVID-19 — несоблюдение ограничений,05.08.2020,517
180,После еды в одесском ресторане «Ошн-Тошн» шести клиентам стало тошно,05.08.2020,372
181,Кого 6 августа в Одессе оставят без газа,05.08.2020,312
182,В Одесской области завершили сбор лаванды,04.08.2020,335
183,Что нового в ситуации с танкером Delfi,04.08.2020,375
184,Кого в Одессе 5 августа оставят без света,04.08.2020,774
185,Любительница элитной земельки в Затоке предстанет перед судом,04.08.2020,502
186,Вчера вечером было совершено покушение на одессита,04.08.2020,317
187,"COVID-19 в Одессе: замы мэра в самоизоляции, за сутки заболели 53 «новеньких»",04.08.2020,1144
188,Одесская теннисистка обыграла испанку в Италии,04.08.2020,351
189,"COVID-19 в Одесской области: 63 новых случая за сутки, 1 смерть",04.08.2020,625
190,"COVID-19 в Украине: Луцк игнорирует «красную» зону, за сутки в стране умерли 26 человек",04.08.2020,643
191,Полиция проверяет факты вандализма на Втором Христианском кладбище в Одессе,04.08.2020,346
192,Румыния закупает 17 одесских трамваев,04.08.2020,830
193,Как в Одессе выбирали «Мисс Туризм Украина-2020»,03.08.2020,397
194,Мост через Хаджибейский лиман полностью отремонтируют к маю 2021 года,03.08.2020,408
195,Кто в Одессе 4 августа останется без света и воды,03.08.2020,1186
196,В Одессе на минувшей неделе родились пять двоен,03.08.2020,299
197,"COVID-19 в Одессе: за сутки заболели 36 человек, выздоровели вдвое меньше, 1 умер",03.08.2020,388
198,1500 долларов — столько захотел одесский коп за прикрытие грабителя,03.08.2020,507
199,В морпорту «Южный» нашли рекордную партию кокаина,03.08.2020,293
200,В Одессе открылась общественная приёмная партии ОП-ЗЖ,03.08.2020,437
201,COVID-19 в Одесской области: 68 новых случаев за воскресенье,03.08.2020,479
202,Показатель летальности от коронавируса в Украине больше 2%,03.08.2020,360
203,Коронавирус не помеха: Одесса шумно фестивалила в выходные дни,03.08.2020,1750
204,Кого в Одессе 3 августа оставят без света,03.08.2020,650
205,Измаильские пограничники не дали собрать урожай с плантации конопли,02.08.2020,452
206,"Стало известно, кто решил покончить с собой прямо в зале одесского суда",02.08.2020,958
207,Кому в воскресенье «Одессаоблэнерго» отключит свет,02.08.2020,809
208,В Одесской области пограничники обнаружили крупную партию контрафактных сигарет,01.08.2020,494
209,Туризм в Одессе: кризис или опыт,01.08.2020,465
210,Министр юстиции открыл 2 платные камеры в одесском СИЗО,01.08.2020,847
211,"COVID-19 в Одессе: 30 новых заболевших за сутки, смерть 58-летнего пациента",01.08.2020,551
212,"COVID-19 в Одесской области: 101 новый случай за сутки, 2 — летальных",01.08.2020,491
213,"COVID-19 в Украине: за сутки 1 172 новых случая заболевания, 16 смертельных",01.08.2020,477
214,Одесский порт впервые в Украине внедряет технологию таймслотов: что это такое,01.08.2020,407
215,Одесса может фестивалить: регион не попал в «красную» карантинную зону,01.08.2020,1518
216,"Услышав решение одесского суда, подозреваемый лезвием причинил себе увечье",31.07.2020,566
217,На одесском «Дельфине» обустроят пляж для лиц с инвалидностью,31.07.2020,314
218,Мэр Одессы хочет тесного сотрудничества с поляками,31.07.2020,401
219,За сожжение музшколы и жилого дома жителя Одесской области отправили в СИЗО,31.07.2020,375
220,Выборы-2020 в Одесской области: партии определяются с кандидатурами,31.07.2020,1039
221,"Дом в Одессе, где останавливался Гоголь, планируют восстановить",31.07.2020,364
222,"Ущерб экологии, нанесённый танкером Delfi, пока исчисляется $20 тысячами",31.07.2020,434
223,"COVID-19 в Одессе: статистика удручающая, к приёму больных готовят больницу №5",31.07.2020,514
224,"COVID-19 в Одесской области: 64 новых случая за сутки, 1 — летальный",31.07.2020,769
225,С 1 августа Украину на месяц поделят на 4 карантинные зоны,31.07.2020,1156
226,"Семья одесских пятерняшек получила новую квартиру, пока на бумаге",31.07.2020,673
227,"Одесские правоохранители задержали членов ОПГ, присваивавших недвижимость умерших",30.07.2020,584
228,Кто в Одессе 31 июля останется без света,30.07.2020,804
229,Одесская мэрия презентовала проект нового Дворца спорта,30.07.2020,345
230,"Труханов: Как мэр, я больше всех заинтересован, чтобы Одесса не попала в «красную зону»",30.07.2020,323
231,"СOVID-19 в Одессе: сегодня умерла одна женщина, за сутки 27 новых случаев болезни",30.07.2020,497
232,COVID-19 в Одесской области: 46 новых случаев за сутки,30.07.2020,386
233,COVID-19 в Украине: За сутки обнаружили 1 197 новых случаев,30.07.2020,459
234,Ryanair запустила новые рейсы в Испанию и Грецию из Одессы,30.07.2020,550
235,Одесские археологи обнаружили редчайшую находку,30.07.2020,317
236,Минсоцполитики заменил «пакеты малыша» на конверты с 5 тысячами гривен,30.07.2020,439
237,Ответственная миссия: Малюська должен открыть VIP-камеру в Одесском СИЗО,30.07.2020,575
238,Суд разрешил «Гефесту» застраивать одесское побережье,29.07.2020,777
239,Одесскому расчленителю неймётся: заявил об отводе коллегии апелляционного суда,29.07.2020,484
240,Кто в Одессе 30 июля останется без света,29.07.2020,738
